year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,300390000091,Billings West High School,Montana,Billings H S,59102,"City, midsize",High,Regular school,Not applicable,1843,6,50,100,75,6,0,49,24.5,98,88,61,0,0,0,Missing/not reported,0,0,0,673,-2,254,-1,-1,5468943,484,85,85,85,0,0,0,0,0,0,0,0,0,0,0,464,197,413,92,287,132,387,0,0,0,0,0,0,500
2015,300390000871,Skyview High School,Montana,Billings H S,59105,"City, midsize",High,Regular school,Not applicable,1489,7,0,49,24.5,7,0,49,24.5,119,73,64,0,0,0,Missing/not reported,0,0,0,495,-2,245,-1,-1,4403734,383,85,85,85,0,0,0,0,0,0,0,0,0,0,0,388,151,279,48,216,58,344,0,0,0,0,0,0,414
2015,300450000104,Box Elder High School,Montana,Box Elder H S,59521,"Rural, remote",High,Regular school,Not applicable,113,,,,,,,,,10,2,13,0,0,0,Missing/not reported,0,0,0,45,-2,11,-1,-1,1560792,33,69,60,64,0,0,0,0,0,0,0,0,0,0,0,48,16,12,,33,,28,0,0,0,0,0,10,31
2015,300459000113,Bozeman High School,Montana,Bozeman H S,59715,"Town, remote",High,Regular school,Not applicable,1989,4,Suppressed data,Suppressed data,Suppressed data,4,Suppressed data,Suppressed data,Suppressed data,129,38,4,2,0,0,Missing/not reported,0,0,0,245,-2,52,-1,-1,6419411,485,84,84,84,0,0,0,0,0,0,0,0,0,0,0,476,261,267,229,328,93,386,0,0,0,0,0,0,376
2015,300480000118,Bridger High School,Montana,Bridger K-12 Schools,59014,"Rural, remote",High,Regular school,Not applicable,59,,,,,,,,,4,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,236727,12,100,50,75,4,0,0,0,0,0,0,2,0,0,2,13,7,,2,10,4,10,0,1,1,0,0,4,18
2015,300486000119,Powder River Co Dist High,Montana,Powder River Co Dist H S,59317,"Rural, remote",High,Regular school,Not applicable,98,,,,,,,,,2,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,655033,26,100,80,90,0,0,0,0,0,0,0,0,0,0,0,37,10,18,5,14,12,,0,0,0,0,0,0,32
2015,300492000122,Broadview High School,Montana,Broadview H S,59015,"Rural, distant",High,Regular school,Not applicable,46,1,Suppressed data,Suppressed data,Suppressed data,1,Suppressed data,Suppressed data,Suppressed data,6,4,2,0,0,0,Missing/not reported,0,0,0,8,-2,4,-1,-1,759010,13,100,50,75,0,0,0,0,0,0,0,0,0,0,0,10,14,4,9,9,,10,0,0,0,0,0,0,16
2015,300498000123,Broadwater High School,Montana,Townsend K-12 Schools,59644,"Rural, remote",High,Regular school,Not applicable,199,,,,,,,,,4,4,2,0,2,0,Missing/not reported,0,4,0,3,-2,3,-1,-1,763831,52,79,70,74,0,0,0,0,0,0,0,0,0,0,0,48,24,18,13,30,17,45,0,0,0,0,0,0,56
2015,300504000125,Brockton High School,Montana,Brockton H S,59213,"Rural, remote",High,Regular school,Not applicable,39,,,,,,,,,18,7,7,0,0,0,Missing/not reported,0,0,0,84,-2,33,-1,-1,94561,7,100,50,75,0,0,0,0,0,0,0,0,0,0,0,17,15,,,,,,0,0,0,0,0,0,10
2015,300519000136,Browning High School,Montana,Browning H S,59417,"Rural, fringe",High,Regular school,Not applicable,550,,,,,,,,,73,37,16,4,0,0,Missing/not reported,0,0,0,250,-2,76,-1,-1,1742319,147,64,60,62,6,1,2,1,0,2,2,4,4,0,10,113,34,,16,33,7,56,0,0,41,0,0,60,139
