year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,3904595,New Bremen Local,Ohio,45955,New Bremen,"Town, distant",Regular local school district,761,6,4614,73,0.07636,10481000,309000,4251000,5921000,2922000,9433000,8665000,5409000,2988000,592000,214000,234000,600000,868000,193000,287000,0,268000,268000,0,0,0,0,0,0,10000,210000,259000,0,399000,197000,0,123000,79000,0,4840000,3422000,2110000,65,100,95,97
2015,3904596,New Knoxville Local,Ohio,45963,New Knoxville,"Rural, distant",Regular local school district,408,3,1872,16,0.043597,5735000,196000,2486000,3053000,1592000,5095000,4574000,3000000,1420000,176000,175000,192000,143000,452000,116000,166000,0,154000,154000,0,0,0,0,0,0,10000,131000,22000,106000,368000,158000,0,31000,179000,0,2518000,1867000,974000,32,100,90,95
2015,3904597,Waynesfield-Goshen Local,Ohio,45971,Waynesfield,"Rural, distant",Regular local school district,536,Missing/not reported,2885,58,0.101399,7871000,347000,4174000,3350000,1834000,6646000,6088000,3498000,2379000,241000,265000,184000,390000,806000,232000,261000,0,211000,211000,0,0,0,0,0,0,40000,143000,417000,89000,404000,31000,0,49000,324000,0,3122000,2104000,1264000,53,100,90,95
2015,3904599,St Clairsville-Richland City,Ohio,45997,Saint Clairsville,"Suburb, small",Regular local school district,1691,3,16175,193,0.098369,17367000,992000,4818000,11557000,8395000,15923000,15059000,10062000,4549000,790000,148000,447000,554000,1350000,516000,744000,0,448000,448000,0,0,242000,242000,0,0,82000,262000,309000,0,317000,52000,0,122000,143000,0,8129000,5871000,3359000,142,100,95,97
2015,3904600,Shadyside Local,Ohio,46003,Shadyside,"Suburb, small",Regular local school district,830,Missing/not reported,5445,96,0.128859,8402000,431000,3633000,4338000,2277000,7200000,6722000,4175000,2400000,220000,115000,306000,439000,771000,259000,290000,0,147000,147000,0,0,1000,1000,0,0,71000,138000,37000,26000,355000,0,0,75000,280000,0,3678000,2574000,1611000,66,94,90,92
2015,3904601,Union Local,Ohio,46011,Belmont,"Rural, distant",Regular local school district,1513,Missing/not reported,8989,175,0.122893,15830000,1249000,8499000,6082000,4170000,16005000,13760000,8940000,4409000,570000,318000,403000,627000,1310000,755000,426000,0,411000,411000,0,0,2000,2000,0,0,40000,303000,183000,0,1893000,766000,0,139000,260000,728000,8034000,5750000,3509000,131,89,85,87
2015,3904602,Brown ESC,Ohio,46029,Georgetown,"Rural, fringe",Regional education service agency,0,0,,,,4860000,0,761000,4099000,Not applicable,4977000,4954000,2791000,2163000,1162000,366000,316000,0,53000,0,266000,0,0,0,0,0,0,0,0,0,0,0,75000,0,23000,0,16000,3000,4000,0,3295000,1892000,1237000,,,,
2015,3904603,Eastern Local,Ohio,46037,Winchester,"Rural, distant",Regular local school district,1279,Missing/not reported,8413,353,0.235805,15463000,1229000,8003000,6231000,4580000,13925000,12796000,7815000,4378000,422000,111000,348000,772000,1128000,953000,644000,0,603000,603000,0,0,0,0,0,0,121000,347000,458000,0,468000,0,0,248000,220000,0,6427000,4542000,3032000,91,94,90,92
2015,3904604,Fayetteville-Perry Local,Ohio,46045,Fayetteville,"Rural, distant",Regular local school district,866,3,4542,122,0.146635,9845000,561000,4901000,4383000,2636000,8748000,8067000,4799000,2902000,449000,255000,286000,385000,800000,395000,332000,0,366000,364000,0,2000,121000,121000,0,0,8000,231000,165000,33000,95000,16000,7000,33000,39000,0,4197000,2835000,1907000,61,100,95,97
2015,3904606,Western Brown Local,Ohio,46060,Mount Orab,"Town, fringe",Regular local school district,3056,Missing/not reported,17101,637,0.200756,36146000,2909000,25031000,8206000,5284000,32509000,28290000,16793000,9914000,1329000,347000,946000,1283000,2626000,1952000,1431000,0,1583000,1583000,0,0,12000,12000,0,0,140000,639000,296000,0,1202000,473000,358000,46000,325000,0,15085000,10428000,6466000,242,90,90,90
2015,3904607,Ripley-Union-Lewis-Huntington Local,Ohio,46078,Ripley,"Town, distant",Regular local school district,925,Missing/not reported,6990,268,0.245872,12488000,1529000,7761000,3198000,2486000,11400000,9941000,5414000,4019000,362000,179000,535000,440000,1189000,603000,711000,0,508000,508000,0,0,41000,41000,0,0,18000,393000,328000,0,1006000,420000,0,85000,501000,0,5519000,3656000,2077000,87,94,90,92
2015,3904608,Butler County ESC,Ohio,46086,Hamilton,"Suburb, large",Regional education service agency,0,0,,,,31064000,7895000,3013000,20156000,Not applicable,30222000,28462000,10119000,18341000,9808000,1264000,2295000,564000,1551000,53000,2806000,0,2000,2000,0,0,1106000,1106000,0,0,0,103000,474000,0,654000,206000,0,29000,419000,0,14999000,3584000,5725000,,,,
2015,3904609,Edgewood City,Ohio,46094,Trenton,"Rural, fringe",Regular local school district,3624,10,19161,456,0.117677,38202000,1749000,17810000,18643000,15340000,37160000,33536000,20275000,11793000,2672000,1147000,707000,1477000,3121000,1344000,1325000,0,1468000,1463000,0,5000,22000,22000,0,0,114000,762000,966000,0,1257000,443000,0,388000,303000,123000,19447000,13215000,7359000,270,91,91,91
