year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,362349003280,EARL L VANDERMEULEN HIGH SCHOOL,New York,PORT JEFFERSON UNION FREE SCHOOL DISTRICT,11777,"Suburb, large",High,Regular school,No,360,78,95,100,97.5,78,95,100,97.5,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,3236285,103,100,95,97,0,1,0,2,0,0,2,0,0,2,0,92,72,25,22,76,44,81,0,0,0,0,0,0,195
2015,362352003286,PORT JERVIS SENIOR HIGH SCHOOL,New York,PORT JERVIS CITY SCHOOL DISTRICT,12771,"Rural, fringe",High,Regular school,No,827,188,90,94,92,188,90,94,92,99,65,35,0,25,0,Missing/not reported,0,6,25,220,-2,174,-1,-1,4873280,209,87,87,87,0,0,0,0,0,0,0,0,0,0,0,214,84,32,29,106,24,169,0,0,0,0,0,0,98
2015,362358003295,PAUL D SCHREIBER SENIOR HIGH SCHOOL,New York,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,11050,"Suburb, large",High,Regular school,No,1597,378,99,100,99.5,382,98,98,98,97,42,60,0,0,0,Missing/not reported,4,4,0,212,-2,76,-1,-1,15422618,365,97,97,97,2,0,0,0,0,0,0,0,0,0,2,490,316,208,119,316,227,445,0,0,0,0,0,0,679
2015,362364003298,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,New York,PORTVILLE CENTRAL SCHOOL DISTRICT,14770,"Rural, fringe",High,Regular school,No,442,199,55,59,57,190,55,59,57,46,19,13,0,2,0,Missing/not reported,2,2,2,129,-2,40,-1,-1,1824760,65,100,95,97,0,0,1,0,0,2,0,0,2,0,0,71,39,24,10,47,27,41,0,0,0,0,4,0,45
2015,362367003301,POTSDAM SENIOR HIGH SCHOOL,New York,POTSDAM CENTRAL SCHOOL DISTRICT,13676,"Town, remote",High,Regular school,No,354,81,95,100,97.5,82,95,100,97.5,23,6,8,0,0,0,Missing/not reported,0,0,0,15,-2,16,-1,-1,1544673,103,94,90,92,6,0,0,1,0,0,0,5,0,0,22,87,47,12,4,32,13,72,0,0,0,0,0,0,53
2015,362376003307,POUGHKEEPSIE HIGH SCHOOL,New York,POUGHKEEPSIE CITY SCHOOL DISTRICT,12603,"Suburb, large",High,Regular school,No,1161,210,89,89,89,218,81,81,81,56,96,41,0,0,0,Missing/not reported,0,0,0,764,-2,198,-1,-1,7889465,300,63,63,63,0,0,0,0,0,0,0,0,0,0,0,478,79,21,6,109,25,165,0,0,0,0,0,0,125
2015,362388003312,PULASKI HIGH SCHOOL,New York,PULASKI CENTRAL SCHOOL DISTRICT,13142,"Rural, distant",High,Regular school,No,367,75,85,89,87,75,90,94,92,16,28,14,0,0,0,Missing/not reported,0,0,0,239,-2,0,-1,-1,1506228,72,94,90,92,3,10,2,0,0,2,7,0,2,10,4,110,38,22,,84,16,90,0,0,0,0,0,0,44
2015,362400004837,PUTNAM VALLEY HIGH SCHOOL,New York,PUTNAM VALLEY CENTRAL SCHOOL DISTRICT,10579,"Suburb, large",High,Regular school,No,598,153,95,100,97.5,154,95,100,97.5,14,14,2,0,0,0,Missing/not reported,0,0,0,45,-2,10,-1,-1,3210860,152,100,95,97,0,0,0,0,0,0,0,0,0,0,0,170,154,94,79,129,83,113,0,0,0,0,0,0,186
2015,362403003318,QUEENSBURY SENIOR HIGH SCHOOL,New York,QUEENSBURY UNION FREE SCHOOL DISTRICT,12804,"Suburb, small",High,Regular school,No,1127,259,94,94,94,259,96,96,96,44,38,12,0,0,0,Missing/not reported,2,2,0,172,-2,63,-1,-1,6306530,320,90,90,90,2,6,3,6,1,2,0,4,4,6,2,205,183,402,74,,97,280,0,0,0,0,0,0,145
2015,362409003321,RANDOLPH SENIOR HIGH SCHOOL,New York,RANDOLPH CENTRAL SCHOOL DISTRICT,14772,"Rural, remote",High,Regular school,No,408,176,60,64,62,171,70,74,72,43,6,6,0,0,0,Missing/not reported,0,6,0,35,-2,24,-1,-1,2449604,66,100,95,97,1,0,0,1,0,0,0,2,0,0,2,69,47,25,7,27,10,47,0,0,0,0,0,0,46
