year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,390455402270,Newcomerstown High School,Ohio,Newcomerstown Exempted Village,43832,"Town, distant",High,Regular school,No,264,81,40,44,42,79,30,34,32,27,6,4,0,0,0,Missing/not reported,0,0,0,14,-2,15,-1,-1,969494,76,94,90,92,0,0,0,0,0,0,0,0,0,0,0,84,36,27,9,57,15,104,0,0,0,0,0,0,64
2015,390455502276,New Richmond High School,Ohio,New Richmond Exempted Village,45157,"Rural, fringe",High,Regular school,No,636,179,45,49,47,166,35,39,37,124,33,15,0,0,0,Missing/not reported,0,16,0,77,-2,46,-1,-1,2324960,180,100,95,97,0,0,0,0,0,0,0,0,0,0,0,236,135,359,34,7,36,16,0,0,0,0,0,0,137
2015,390455602281,Newton Falls High School,Ohio,Newton Falls Exempted Village,44444,"Suburb, large",High,Regular school,No,351,89,60,64,62,86,55,59,57,34,17,9,0,0,0,Missing/not reported,0,0,0,60,-2,45,-1,-1,1379226,89,94,90,92,0,0,0,0,0,0,0,0,0,0,0,122,77,39,4,62,22,62,0,0,0,0,0,0,95
2015,390455702284,Paulding High School,Ohio,Paulding Exempted Village,45879,"Town, distant",High,Regular school,No,376,103,45,49,47,97,60,64,62,0,32,22,2,0,2,Missing/not reported,0,0,0,186,-2,79,-1,-1,1398796,92,94,90,92,0,1,0,0,0,0,2,0,0,2,0,164,67,53,13,125,18,97,0,0,0,0,0,0,69
2015,390455802288,Perrysburg High School,Ohio,Perrysburg Exempted Village,43551,"Suburb, large",High,Regular school,No,1419,350,77,77,77,311,74,74,74,11,32,8,0,0,0,Missing/not reported,0,0,0,86,-2,9,-1,-1,5216737,370,96,96,96,0,0,0,0,0,0,0,0,0,0,0,374,284,85,244,317,177,308,0,0,0,0,0,0,458
2015,390456002299,Rossford High School,Ohio,Rossford Exempted Village,43460,"Suburb, large",High,Regular school,No,415,132,55,59,57,95,50,54,52,15,6,4,0,0,0,Missing/not reported,0,0,0,40,-2,6,-1,-1,2345018,117,94,90,92,0,0,0,0,0,0,0,0,0,0,0,131,86,21,49,115,45,83,0,0,0,0,0,0,13
2015,390456102303,Tippecanoe High School,Ohio,Tipp City Exempted Village,45371,"Suburb, large",High,Regular school,No,747,190,80,84,82,142,70,74,72,31,17,4,4,0,0,Missing/not reported,0,4,0,113,-2,22,-1,-1,2955334,205,97,97,97,0,0,0,0,0,0,0,0,0,0,0,292,202,211,50,177,49,143,0,0,0,0,0,0,239
2015,390456302316,Versailles High School,Ohio,Versailles Exempted Village,45380,"Rural, fringe",High,Regular school,No,512,101,65,69,67,121,80,84,82,6,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1860794,107,100,95,97,1,0,0,0,0,0,0,2,0,0,2,130,82,25,43,43,55,137,0,0,0,0,0,0,76
2015,390456402320,Wauseon High School,Ohio,Wauseon Exempted Village,43567,"Rural, fringe",High,Regular school,No,543,132,65,69,67,128,45,49,47,12,6,0,0,0,0,Missing/not reported,0,0,0,11,-2,3,-1,-1,1728347,159,100,95,97,0,0,0,0,0,0,0,0,0,0,0,166,63,58,32,97,9,97,0,0,0,0,0,0,175
2015,390456502322,Wellington High School,Ohio,Wellington Exempted Village,44090,"Town, distant",High,Regular school,No,348,94,55,59,57,83,50,54,52,43,31,15,4,0,0,Missing/not reported,0,0,0,263,-2,55,-1,-1,1094348,112,89,85,87,0,0,0,0,0,0,0,0,0,0,0,122,2,25,4,118,26,102,0,0,0,0,0,0,0
2015,390456602326,Windham High School,Ohio,Windham Exempted Village,44288,"Town, fringe",High,Regular school,No,176,48,40,49,44.5,40,30,39,34.5,24,19,9,2,2,0,Missing/not reported,0,0,0,93,-2,101,-1,-1,617019,50,89,80,84,0,0,0,0,0,0,0,0,0,0,0,50,17,24,17,4,23,39,0,0,0,0,0,0,48
2015,390456702330,Yellow Springs/McKinney High School,Ohio,Yellow Springs Exempted Village,45387,"Rural, fringe",High,Regular school,No,346,172,70,74,72,162,65,69,67,19,16,4,0,0,0,Missing/not reported,0,0,0,95,-2,39,-1,-1,1466266,44,100,90,95,0,0,0,0,1,0,0,0,0,0,0,76,122,51,21,41,29,64,0,0,0,0,0,0,73
2015,390457502331,Allen East High School,Ohio,Allen East Local,45850,"Rural, fringe",High,Regular school,No,511,245,45,45,45,202,62,62,62,0,28,22,7,0,0,Missing/not reported,0,4,0,152,-2,72,-1,-1,1262266,96,94,90,92,0,1,0,0,0,0,2,0,0,2,0,153,53,22,,80,,,0,0,0,0,0,0,82
2015,390457602335,Bath High School,Ohio,Bath Local,45801,"Suburb, small",High,Regular school,No,512,153,50,54,52,151,60,64,62,0,24,19,0,0,0,Missing/not reported,0,0,0,367,-2,73,-1,-1,1388726,135,94,90,92,0,0,0,0,0,0,0,0,0,0,0,188,81,52,10,87,4,132,0,0,0,0,0,0,178
2015,390457702339,Elida High School,Ohio,Elida Local,45807,"Rural, fringe",High,Regular school,No,718,199,60,64,62,147,65,69,67,0,51,21,4,0,0,Missing/not reported,0,11,0,494,-2,98,-1,-1,2138883,186,89,85,87,1,1,0,1,0,0,2,2,0,2,2,211,58,110,25,77,21,187,0,0,0,0,0,0,131
2015,390457802342,Perry High School,Ohio,Perry Local,45806,"Rural, fringe",High,Regular school,No,344,185,30,34,32,196,25,29,27,235,148,54,0,0,0,Missing/not reported,0,0,0,468,-2,148,-1,-1,2077791,55,89,80,84,0,0,0,0,0,0,0,0,0,0,0,94,26,23,6,40,21,,0,0,0,0,0,0,38
2015,390457902345,Shawnee High School,Ohio,Shawnee Local,45806,"Suburb, small",High,Regular school,No,710,215,62,62,62,164,75,79,77,18,22,2,2,0,0,Missing/not reported,0,0,0,154,-2,32,-1,-1,2064280,169,94,90,92,0,0,0,0,0,0,0,0,0,0,0,274,75,182,21,122,84,173,0,0,0,0,0,0,197
2015,390458002349,Spencerville High School,Ohio,Spencerville Local,45887,"Rural, distant",High,Regular school,No,281,71,70,74,72,51,70,79,74.5,0,19,10,0,0,0,Missing/not reported,0,0,0,136,-2,27,-1,-1,847893,59,100,90,95,0,0,0,0,0,0,0,0,0,0,0,75,33,4,60,46,27,50,0,0,0,0,0,0,105
2015,390458202352,Hillsdale High School,Ohio,Hillsdale Local,44840,"Rural, distant",High,Regular school,No,251,82,45,49,47,64,45,49,47,0,8,2,0,0,0,Missing/not reported,0,0,0,21,-2,9,-1,-1,938341,68,100,95,97,0,0,0,0,0,0,0,0,0,0,0,88,48,34,,57,13,76,0,0,0,0,0,0,46
2015,390458302354,Mapleton High School,Ohio,Mapleton Local,44805,"Rural, distant",High,Regular school,No,257,66,45,49,47,51,40,49,44.5,4,2,2,0,0,0,Missing/not reported,0,0,0,17,-2,3,-1,-1,688063,73,94,90,92,0,0,0,0,0,0,0,0,0,0,0,77,35,62,,71,17,48,0,0,0,0,0,0,64
2015,390458502358,Edgewood High School,Ohio,Buckeye Local,44004,"Town, distant",High,Regular school,No,533,133,50,54,52,126,35,39,37,12,36,17,0,0,0,Missing/not reported,0,0,0,158,-2,68,-1,-1,1960734,165,89,85,87,0,0,0,0,0,0,0,0,0,0,0,163,145,119,,131,26,6,0,0,0,0,0,0,156
2015,390458602367,Grand Valley High School,Ohio,Grand Valley Local,44076,"Rural, distant",High,Regular school,No,371,111,50,54,52,104,40,44,42,23,19,4,0,0,0,Missing/not reported,0,0,0,105,-2,26,-1,-1,1170487,93,94,90,92,0,0,0,0,0,0,0,0,0,0,0,157,38,22,10,99,19,111,0,0,0,0,0,0,84
2015,390458702372,Jefferson Area Sr High School,Ohio,Jefferson Area Local,44047,"Town, distant",High,Regular school,No,512,159,50,54,52,108,60,64,62,4,21,14,0,0,0,Missing/not reported,0,0,0,81,-2,50,-1,-1,1343927,133,94,90,92,0,0,0,0,0,0,0,0,0,0,0,281,52,48,6,156,15,116,0,0,0,0,0,0,172
2015,390458802374,Pymatuning Valley High School,Ohio,Pymatuning Valley Local,44003,"Rural, distant",High,Regular school,No,362,101,35,39,37,98,35,39,37,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,3794341,98,94,90,92,0,0,0,0,0,0,0,0,0,0,0,158,32,66,10,90,,2,0,0,0,0,0,0,75
